State,Naics,Establishments,Employees,Payroll
AK,623220,34,786,32291
AK,623311,15,168,6185
AK,623312,186,1177,42927
AK,623990,21,254,9698
AK,624110,21,125,5764
AK,624120,144,4220,140694
AK,624190,143,1701,93969
AK,624210,15,187,9074
AK,624221,17,364,17209
AK,624229,9,50,2213
AK,624230,4,47,2280
AK,624310,15,328,14004
AK,624410,159,1821,60225
AK,711110,8,37,986
AK,711130,5,9,550
AK,711219,3,9,203
AK,711310,7,236,6289
AK,711320,4,39,1320
AK,711510,34,81,3222
AK,712110,26,221,11583
AK,712130,3,57,2131
AK,713290,49,379,11967
AK,713910,4,2,239
AK,713920,8,131,2254
AK,713940,83,1505,25055
AK,713950,3,88,2350
AK,713990,290,869,50019
AK,721110,279,5276,254407
AK,721191,32,50,1246
AK,721199,38,90,3781
AK,721211,18,27,1884
AK,721214,127,300,46287
AK,721310,3,153,15721
AK,722310,56,2204,100357
AK,722320,24,127,3408
AK,722330,96,246,7122
AK,722410,128,1173,34352
AK,722511,526,8331,301933
AK,722513,479,6917,180769
AK,722514,5,73,2262
AK,722515,336,2972,61184
AK,811111,197,1062,67159
AK,811113,6,19,1029
AK,811118,3,2,115
AK,811121,47,492,30163
AK,811122,23,116,6931
AK,811191,6,66,1910
AK,811192,40,260,7166
AK,811198,3,7,382
AK,811212,6,10,378
AK,811219,3,48,6364
AK,811310,87,467,36480
AK,811412,12,62,2958
AK,811490,33,109,6152
AK,812111,12,50,2025
AK,812112,140,539,18373
AK,812113,58,270,12726
AK,812199,66,229,7523
AK,812210,14,74,4335
AK,812310,18,73,1729
AK,812320,14,101,3188
AK,812331,3,188,9147
AK,812910,64,304,7954
AK,812930,8,105,4175
AK,812990,23,33,1112
AK,813110,377,2201,62335
AK,813211,27,187,15884
AK,813212,17,84,6937
AK,813219,9,97,7236
AK,813311,10,58,4154
AK,813312,70,513,33836
AK,813319,24,134,9093
AK,813410,119,696,21171
AK,813910,60,218,13871
AK,813920,17,105,7290
AK,813930,53,315,25424
AK,813940,10,22,1188
AK,813990,16,92,4341
AZ,113310,5,53,3489
AZ,115112,22,192,14418
AZ,115113,3,117,3486
AZ,115114,13,374,15585
AZ,115115,15,551,15999
AZ,115116,12,21,1749
AZ,115210,77,233,9430
AZ,115310,13,222,10424
AZ,211120,3,3,80
AZ,211130,4,10,970
AZ,212221,6,113,10089
AZ,212230,14,4401,401066
AZ,212311,5,69,2846
AZ,212312,3,7,229
AZ,212313,5,69,7609
AZ,212319,7,97,7593
AZ,212321,71,802,67678
AZ,213111,5,11,504
AZ,213112,12,93,8113
AZ,213114,8,116,24436
AZ,213115,9,417,36458
AZ,221111,3,7,534
AZ,221112,41,2410,328319
AZ,221114,21,562,67907
AZ,221115,3,7,747
AZ,221122,34,3791,476040
AZ,221210,21,862,76228
AZ,221310,114,1610,137508
AZ,221320,9,59,2976
AZ,221330,3,16,2595
AZ,236115,941,4701,310911
AZ,236116,80,778,79011
AZ,236117,216,5329,739444
AZ,236118,2254,12574,689209
AZ,236210,45,1653,170745
AZ,236220,760,16071,1506427
AZ,237110,212,5387,414007
AZ,237120,14,643,70063
AZ,237130,137,6537,638444
AZ,237210,90,616,61473
AZ,237310,164,9189,768228
AZ,237990,41,968,93768
AZ,238110,440,9608,642444
AZ,238120,109,2692,210259
