,fips,relevant_naics,YEAR,estab,emp,payann
848,26,484210,2017,118,2016,73855
850,26,492110,2017,202,9442,431656
852,26,493110,2017,309,11592,586769
854,26,492210,2017,67,534,19109
856,26,493190,2017,56,1038,49929
858,26,493120,2017,18,176,7052
860,26,519190,2017,293,674,24770
862,26,511199,2017,13,68,4263
864,26,517919,2017,118,619,23374
866,26,511130,2017,44,1311,88907
868,26,515210,2017,13,215,36917
870,26,518210,2017,386,9871,780593
872,26,511191,2017,3,0,0
874,26,519130,2017,117,2529,289825
876,26,519120,2017,17,238,15722
878,26,512110,2017,171,718,34497
880,26,512131,2017,71,2914,34256
882,26,512230,2017,3,0,0
885,26,511110,2017,128,2032,84125
888,26,512290,2017,3,17,638
890,26,511120,2017,94,1117,79227
892,26,515111,2017,3,0,0
893,26,515112,2017,88,1386,84718
895,26,512250,2017,10,34,1472
897,26,517410,2017,5,101,7791
899,26,511210,2017,243,9123,1106571
901,26,512240,2017,13,83,6253
903,26,517911,2017,87,907,58263
905,26,512191,2017,31,316,21036
907,26,515120,2017,38,1174,94826
909,26,517311,2017,830,14875,1020804
911,26,517312,2017,613,4805,299606
913,26,524298,2017,117,552,29773
915,26,522298,2017,76,775,43807
917,26,524291,2017,72,535,35540
919,26,522110,2017,2653,34080,2321397
921,26,522291,2017,41,171,13689
923,26,522210,2017,3,0,0
925,26,522130,2017,949,13587,635759
927,26,524114,2017,101,6413,480277
929,26,524113,2017,131,1988,212207
931,26,524126,2017,273,10363,777331
933,26,524127,2017,94,250,16482
935,26,522320,2017,71,1588,111175
937,26,524210,2017,3997,24807,1534068
939,26,523930,2017,461,1388,120855
