Naics,Establishments,Employees,Payroll,fips
7113,7,172,2750,31109
7115,17,50,3094,31109
7132,3,52,2522,31109
7139,96,2535,32278,31109
4441,80,2772,97750,31055
4442,21,285,9424,31055
4451,117,8123,155291,31055
4452,39,249,4418,31055
4453,22,99,1921,31055
4461,163,2297,72011,31055
7211,65,1474,29643,31109
7213,27,72,1174,31109
7223,39,466,7492,31109
7224,68,739,9076,31109
7225,569,13627,200395,31109
8111,189,1022,38661,31109
4471,164,1782,40441,31055
4481,184,2680,43627,31055
4483,20,344,13308,31055
4482,37,363,5940,31055
4511,78,1377,28015,31055
8112,12,54,1898,31109
8113,20,84,4358,31109
8114,19,65,2246,31109
8121,208,851,15878,31109
8122,11,123,5730,31109
8123,25,298,7141,31109
8129,35,343,7619,31109
8131,180,2164,47520,31109
4512,17,221,2920,31055
4523,51,3945,103541,31055
4522,10,910,17035,31055
4531,15,110,2073,31055
4532,42,432,7544,31055
4533,51,498,9239,31055
4539,83,703,16945,31055
4541,88,1287,44102,31055
8132,39,601,37172,31109
8133,35,339,15627,31109
8134,45,203,5658,31109
8139,124,756,39043,31109
4542,12,141,5480,31055
4543,53,176,5660,31055
4812,6,201,21539,31055
4811,7,416,11620,31055
4841,137,3316,182255,31055
4842,82,1248,54469,31055
4853,6,49,963,31055
4854,5,702,15180,31055
4855,4,149,5576,31055
4859,4,23,416,31055
4881,14,316,11194,31055
4882,8,107,5046,31055
4884,16,101,4227,31055
2361,5,12,293,31147
2371,3,13,573,31147
2381,5,19,267,31147
2382,7,27,689,31147
2389,4,14,391,31147
4238,3,30,1042,31147
4245,10,39,1796,31147
4249,9,39,2193,31147
4251,3,7,109,31147
4413,4,19,1046,31147
4441,5,29,1183,31147
4885,43,206,13273,31055
4921,24,1864,76615,31055
4922,9,114,4009,31055
4931,28,1199,44464,31055
5111,29,966,50622,31055
5112,27,1823,165964,31055
5121,32,450,7880,31055
5122,7,23,1054,31055
5151,17,624,38252,31055
4471,4,43,732,31147
4523,3,41,459,31147
4543,3,6,183,31147
4841,6,11,270,31147
4842,15,17,562,31147
5173,3,18,1710,31147
5221,5,42,1687,31147
5242,6,20,790,31147
5411,6,26,650,31147
5412,3,30,699,31147
5617,3,10,155,31147
5619,3,8,328,31147
6212,3,19,736,31147
6241,3,21,623,31147
6244,3,9,137,31147
7139,3,12,202,31147
7224,3,14,109,31147
7225,15,138,1522,31147
8111,8,25,601,31147
8113,3,11,345,31147
8121,4,5,630,31147
8131,15,93,1410,31147
5173,110,1941,121866,31055
5179,5,71,2311,31055
5182,42,3190,314483,31055
5191,20,880,88143,31055
5221,228,7815,622593,31055
5222,59,1643,164598,31055
5223,145,6837,452543,31055
1151,4,32,1766,31093
2361,8,10,249,31093
2381,3,9,248,31093
2382,9,22,631,31093
2389,4,8,397,31093
4238,3,20,1154,31093
4442,3,14,618,31093
4471,6,54,1114,31093
4841,3,6,118,31093
4842,7,14,499,31093
5231,78,2178,219546,31055
5239,239,1765,209788,31055
5241,130,13725,1179675,31055
5242,462,3225,276721,31055
5221,5,63,2781,31093
5241,17,22,818,31093
5242,7,17,659,31093
5416,4,7,258,31093
5419,3,20,1048,31093
5617,3,13,211,31093
6213,3,8,308,31093
7224,3,7,113,31093
7225,8,56,557,31093
8111,8,15,571,31093
8131,5,10,172,31093
5259,3,10,924,31055
5311,221,1025,38997,31055
5312,439,1402,75805,31055
5313,161,2774,146347,31055
5321,37,471,15106,31055
5322,28,206,7740,31055
5323,6,38,1743,31055
2382,3,17,684,31065
2389,3,35,2350,31065
3116,3,27,632,31065
4245,4,81,4595,31065
4411,3,10,278,31065
4413,3,10,256,31065
4451,4,64,993,31065
4471,4,44,675,31065
4523,3,16,281,31065
4841,5,14,463,31065
4842,7,25,1222,31065
5221,7,41,1822,31065
5242,9,18,934,31065
5411,3,6,236,31065
5416,3,4,104,31065
5617,3,2,46,31065
6211,3,33,2196,31065
6213,4,28,1454,31065
6233,4,67,1766,31065
5324,34,202,10503,31055
6241,4,38,800,31065
5331,12,297,35857,31055
5411,348,3017,251160,31055
5412,267,2525,144042,31055
5413,213,4423,384781,31055
7211,3,14,190,31065
7225,6,54,391,31065
8111,3,6,235,31065
8122,3,5,360,31065
8131,8,18,319,31065
2361,12,14,270,31151
2381,4,7,360,31151
2382,11,92,4868,31151
2383,5,10,404,31151
3327,3,13,680,31151
4238,7,47,2169,31151
4245,7,94,7224,31151
4249,4,15,1177,31151
4413,3,15,396,31151
4411,5,57,2793,31151
4441,5,43,1402,31151
4451,4,54,727,31151
4452,3,8,122,31151
4453,3,9,76,31151
4461,3,18,700,31151
4471,8,73,1617,31151
4523,5,184,4380,31151
4543,4,34,1288,31151
4841,9,67,3120,31151
5414,91,271,13729,31055
5415,258,2605,215741,31055
5416,345,2615,207555,31055
5417,22,667,43032,31055
5418,95,1027,50517,31055
5419,137,1905,64871,31055
4842,7,15,663,31151
5221,13,100,4797,31151
5239,3,8,404,31151
5242,15,40,1117,31151
5311,4,11,364,31151
5411,3,5,131,31151
