,fips,relevant_naics,estab,emp,payann
41476,06,314999,281,2630,102004
41477,06,315110,7,37,2124
41478,06,315190,20,543,18283
41479,06,315210,1664,15659,380737
41480,06,321114,21,323,16812
41481,06,315220,84,1409,60971
41482,06,315280,119,1283,46320
41483,06,321911,155,4282,216793
41484,06,321920,276,4210,160920
41485,06,316110,16,63,2361
41486,06,321991,20,1215,48666
41487,06,321992,34,1193,66306
41488,06,321999,309,2211,89723
41489,06,316992,22,820,32664
41490,06,316998,83,1034,43022
41491,06,322121,10,782,61945
41492,06,322130,8,246,21935
41493,06,321113,65,3402,187915
41494,06,322211,124,10272,673398
41495,06,322212,57,3453,193038
41496,06,321211,14,350,19658
41497,06,321212,3,252,11824
41498,06,321213,8,98,6720
41499,06,321214,49,1988,86565
41500,06,321219,8,168,9047
41501,06,321912,49,1676,76773
41502,06,321918,113,1376,60010
41503,06,323113,688,6602,232452
41504,06,322219,31,1591,79439
41505,06,324122,19,907,62949
41506,06,324191,25,684,46697
41507,06,322220,59,1419,77376
41508,06,324199,5,62,4497
41509,06,322230,44,1519,73145
41510,06,322291,6,269,18096
41511,06,322299,45,988,46733
41512,06,323111,2159,30022,1624534
41513,06,323117,62,983,51654
41514,06,323120,168,1656,71729
41515,06,324110,19,8631,1152410
41516,06,324121,105,1484,143032
41517,06,325120,48,1232,106014
41518,06,325130,11,288,17778
41519,06,325180,42,1396,127697
41520,06,327110,74,1056,49105
41521,06,325193,7,293,26266
41522,06,325194,7,328,20386
41523,06,325199,51,2728,421475
41524,06,327120,39,1008,49566
41525,06,325211,106,2835,182645
41526,06,325212,17,798,45582
41527,06,325220,8,65,23138
41528,06,325311,31,291,22353
41529,06,325312,4,199,16477
41530,06,325314,44,925,49716
41531,06,325910,26,579,32546
41532,06,325320,27,593,35032
41533,06,325411,87,6114,585445
41534,06,325412,211,25622,3710147
41535,06,325413,70,7139,689920
41536,06,326112,47,2145,106051
41537,06,326113,50,2424,157199
41538,06,325510,135,2114,122977
41539,06,325520,65,1757,136435
41540,06,326140,51,2326,101059
41541,06,325611,62,1204,67514
41542,06,325612,60,1253,78327
41543,06,325613,7,126,10208
41544,06,325620,250,7107,414849
41545,06,325920,6,1032,65401
41546,06,326191,33,3344,174860
41547,06,326199,632,26485,1386150
41548,06,325991,37,923,48719
41549,06,325992,24,285,13387
41550,06,325998,155,2588,158425
41551,06,326291,51,3090,189603
41552,06,326299,76,1901,92144
41553,06,326111,45,1960,88380
41554,06,326121,37,1005,51164
41555,06,326122,42,1541,83980
41556,06,326130,18,229,11809
41557,06,326150,75,2193,107938
41558,06,327211,19,1158,63550
41559,06,327212,62,819,29725
41560,06,327213,9,1746,128551
41561,06,327215,146,4244,223910
41562,06,326160,52,3043,145387
41563,06,326211,5,120,4469
41564,06,326212,27,269,12562
